18732	
	(6.773177347e-30,6.958246632e-32)	(-5.896651709e-29,-6.972188723e-30)	(-5.483446312e-29,-6.183315005e-30)	(-2.201656796e-29,-2.845813472e-30)	(-3.491794527e-29,-3.702833374e-30)
	(-4.358163069e-29,-2.651278244e-30)	(1.502382474e-29,7.810873564e-31)	(-1.704661125e-30,9.348584664e-32)	(-3.026121991e-30,-1.841628378e-31)	(-4.333399582e-30,-2.369041421e-31)
	(5.589425581e-30,1.906949661e-31)	(-5.589614223e-30,-2.895877339e-31)	(-6.300385736e-30,-4.618421036e-31)	(-6.241294844e-30,-2.833177783e-31)	(-5.287314463e-30,-3.001179135e-31)
	(1.666719127e-29,6.148412919e-31)	(-3.686028626e-30,-3.792884684e-32)	(9.677308547e-31,2.959103983e-32)	(2.273625693e-30,1.141139497e-31)	(-5.501655317e-30,-2.621375086e-31)
	(-1.530302811e-30,-5.995247775e-32)	(1.202810317e-31,1.927142915e-33)	(2.205833537e-30,1.360740642e-31)	(-3.939278845e-31,1.577932915e-32)	(4.267417379e-30,2.169551993e-31)
	(5.680184311e-30,3.23888494e-31)	(4.653599063e-30,3.163213794e-31)	(8.797658996e-30,3.691768526e-31)	(1.269138847e-30,1.489000274e-31)	(-3.42674997e-31,-5.167147882e-32)
	(-2.978047637e-30,-1.621317278e-31)	(-6.212290112e-30,-4.067111697e-31)	(-2.266746104e-30,-1.830018113e-31)	(-1.906928425e-30,-1.986532286e-31)	(-1.55233235e-29,-7.778282083e-31)
	(1.330853366e-29,9.645685818e-31)	(4.32811932e-29,2.517288569e-30)	(4.231445525e-29,2.189970832e-30)	(1.782575075e-29,8.667633874e-31)	(-2.496325748e-29,-1.435865002e-30)
	(-3.529750531e-29,-2.014895331e-30)	(1.084830549e-29,-4.420385472e-31)	(-9.776465577e-29,-4.483053029e-30)	(1.537512544e-28,8.288900768e-30)	(1.477218416e-28,9.890540676e-30)
	(9.351061146e-29,9.242373461e-30)	(4.019384452e-28,2.319310613e-29)	(-8.533134766e-29,-8.448994261e-31)	(-3.072287588e-28,-1.883131319e-29)	(8.29926048e-28,4.714419447e-29)
	(3.700401315e-27,1.778597778e-28)	(-1.678371902e-27,8.362094264e-29)	(1.572999961e-26,8.309594857e-28)	(1.440803807e-26,7.549234343e-28)	(7.89418134e-27,3.292953138e-28)
	(-8.169080356e-27,-4.304314403e-28)	(-7.686264906e-28,-1.206278295e-28)	(-3.796519431e-27,-2.091411267e-28)	(-2.315231214e-27,-1.636750011e-28)	(-1.644527587e-27,-6.145098773e-29)
	(-6.183762876e-28,-5.3057411e-29)	(-2.409423482e-28,-6.779560315e-29)	(-1.661138035e-27,1.791644796e-28)	(-6.995457227e-27,3.459311849e-28)	(1.898660861e-26,2.920649376e-27)
	(2.102194281e-26,-6.376008985e-27)	(-2.262859411e-27,1.128085399e-28)	(2.499295381e-27,8.931429914e-28)	(8.560564132e-28,8.591819065e-27)	(4.522048935e-27,-2.704699804e-26)
	(7.412919469e-27,-2.950771082e-26)	(-4.76024296e-27,1.152400693e-26)	(-1.339443733e-26,2.782957993e-26)	(1.395954262e-26,-3.678415331e-26)	(-6.054217841e-27,2.303596483e-26)
	(8.954418199e-27,-2.896128444e-26)	(-1.49394527e-26,3.248772777e-26)	(-1.141506521e-26,1.999697723e-26)	(2.869349556e-27,-1.752364485e-27)	(1.838242934e-26,-3.794751964e-26)
	(-4.461947562e-27,6.666008407e-27)	(5.624345608e-27,-1.130714155e-26)	(-5.643559262e-28,1.293420954e-27)	(-2.403548634e-27,4.960992086e-27)	(-2.568338488e-28,1.035302035e-28)
	(-4.647819126e-28,1.691097065e-29)	(-5.077282236e-28,3.523503708e-28)	(3.209231792e-28,-2.869849232e-29)	(2.439469185e-29,-7.638867788e-29)	(-1.173801957e-28,-2.161756399e-28)
	(1.525158064e-28,6.221422198e-28)	(1.595691785e-28,5.874792949e-28)	(-9.321539698e-29,-1.821561803e-28)	(1.679891379e-29,8.083052813e-29)	(2.251179523e-29,-2.688900571e-29)
	(2.00455923e-29,2.705076557e-30)	(-2.249561557e-29,-8.203059244e-31)	(-4.586366552e-29,-2.178366876e-30)	(3.579438018e-30,-3.741896263e-30)	(-9.721277308e-30,-3.586359426e-30)
	(3.272915492e-30,4.589521236e-30)	(-9.741451952e-33,8.316856912e-31)	(-1.801031832e-31,-9.241315167e-31)	(1.534818629e-31,-1.579654317e-31)	(2.955147399e-31,2.131641529e-31)
	(7.813383309e-32,-2.747701601e-31)	(6.44757102e-32,-9.932090139e-32)	(-2.705147445e-32,6.735757472e-32)	(-1.232318051e-32,2.884889423e-32)	(7.951323771e-33,-2.195870212e-32)
	(-3.520406411e-33,1.099305793e-32)	(-9.410526069e-34,1.287325787e-33)	(-2.074009441e-33,5.172578234e-33)	(-6.930773773e-34,2.805641696e-33)	(5.472736314e-34,-1.0121641e-33)
	(-2.294022421e-34,-9.544509616e-35)	(-1.309797755e-34,-5.472463496e-34)	(1.728596388e-34,-1.788395014e-35)	(1.120934056e-34,1.529892567e-34)	(-1.552393264e-34,-1.079204485e-34)
	(-1.576229335e-35,-3.035165829e-36)	(1.191917911e-35,6.24996974e-36)	(6.293242853e-37,-3.003633305e-36)	(1.161268534e-36,-1.854611119e-37)	(-1.179180652e-36,-1.97431049e-36)
	(-1.321565089e-36,-2.755335826e-36)	(-2.993798137e-37,-6.342463468e-37)	(2.693121291e-37,5.884430934e-37)	(-3.367704709e-37,-5.819855558e-37)	(-1.020502001e-37,-8.738982914e-38)
	(9.684402851e-39,3.17318282e-38)	(3.590128818e-39,2.27850082e-38)	(1.912977995e-38,4.225526774e-39)	(8.189099497e-39,2.096549812e-40)	(6.296171658e-39,1.080719005e-39)
	(-5.371329112e-39,-1.31639531e-39)	(-1.934148126e-39,6.612340096e-40)	(1.000629899e-40,5.046579972e-40)	(-8.77754499e-40,-1.547905283e-40)	(-2.955548572e-39,1.20254951e-39)
	(1.453814019e-39,-1.720022573e-39)	(-0.3192415382,0.9476733827)	(0.9983900711,0.05672094747)	(-0.9840456202,-0.1779163214)	(0.1149997764,-0.9933655175)
	(-0.6390016604,-0.7692053549)	(0.9364981962,0.3506723949)	(0.9282152712,-0.3720435597)	(0.244559628,0.9696342549)	(0.3152576771,-0.9490061101)
	(-0.6031233305,-0.7976479476)	(-0.35566917,-0.9346119203)	(0.7622525478,-0.6472797335)	(0.3444447955,0.9388065737)	(-0.8807246572,-0.473628629)
	(0.9932717614,0.1158067698)	(0.9932717643,-0.1158067453)	(-0.8807247031,0.4736285437)	(0.3444450361,-0.9388064854)	(0.762252243,0.6472800924)
	(-0.3556698991,0.9346116428)	(-0.6031243586,0.7976471702)	(0.315256059,0.9490066476)	(0.2445618596,-0.9696336921)	(0.9282144404,0.3720456325)
	(0.9364989172,-0.3506704694)	(-0.6390030755,0.7692041794)	(0.1149983357,0.9933656843)	(-0.9840458112,0.1779152651)	(0.9983901126,-0.05672021711)
	(-0.3192412266,-0.9476734877)	(-0.7585803604,0.6515794939)	(0.9928415039,-0.119439307)	(-0.7328500159,0.680390222)	(-0.5332554433,-0.8459542731)
	(0.7267994776,-0.6868497065)	(0.8394240673,0.5434769868)	(-0.5833395028,0.8122284312)	(-0.2485277979,-0.9686247641)	(0.04359111528,0.9990494556)
	(0.9702648232,0.2420458074)	(0.1343654365,0.9909318491)	(0.9914182081,0.1307284841)	(0.2340311201,-0.9722291061)	(-0.03707317469,0.9993125536)
	(-0.9607999985,-0.277242426)	(0.8317661273,-0.5551262104)	(0.1068676734,-0.9942732524)	(-0.8616791349,-0.5074535136)	(-0.2378101993,0.9713116437)
	(0.8769735573,-0.480538635)	(-0.9437532359,-0.3306506158)	(-0.1604422321,0.9870452321)	(0.6818000764,0.7315385539)	(0.9993008584,-0.03738708776)
	(0.7116668617,-0.7025171015)	(0.004244376114,-0.9999909926)	(-0.9871892653,0.15955361)	(-0.01137976931,-0.9999352483)	(-0.03688090014,0.9993196682)
